Año;Mes;Renta
2000;Enero;0,56
2000;Febrero;0,79
2000;Marzo;0,41
2000;Abril;1,07
2000;Mayo;0,51
2000;Junio;0,92
2000;Julio;0,45
2000;Agosto;0,78
2000;Septiembre;0,47
2000;Octubre;0,60
2000;Noviembre;0,46
2000;Diciembre;0,52
2001;Enero;0,66
2001;Febrero;1,12
2001;Marzo;0,56
2001;Abril;1,64
2001;Mayo;0,61
2001;Junio;1,47
2001;Julio;0,63
2001;Agosto;1,03
2001;Septiembre;0,55
2001;Octubre;0,80
2001;Noviembre;0,58
2001;Diciembre;0,63
2002;Enero;0,78
2002;Febrero;1,10
2002;Marzo;0,51
2002;Abril;1,57
2002;Mayo;0,67
2002;Junio;1,39
2002;Julio;0,63
2002;Agosto;1,22
2002;Septiembre;0,70
2002;Octubre;0,90
2002;Noviembre;0,68
2002;Diciembre;0,71
2003;Enero;0,89
2003;Febrero;1,13
2003;Marzo;0,65
2003;Abril;1,87
2003;Mayo;0,78
2003;Junio;1,57
2003;Julio;0,78
2003;Agosto;1,36
2003;Septiembre;0,87
2003;Octubre;1,03
2003;Noviembre;0,78
2003;Diciembre;0,84
2004;Enero;1,06
2004;Febrero;1,30
2004;Marzo;0,84
2004;Abril;2,93
2004;Mayo;0,92
2004;Junio;2,35
2004;Julio;0,80
2004;Agosto;1,92
2004;Septiembre;0,83
2004;Octubre;1,28
2004;Noviembre;0,82
2004;Diciembre;0,91
2005;Enero;1,14
2005;Febrero;1,69
2005;Marzo;0,79
2005;Abril;3,35
2005;Mayo;1,00
2005;Junio;2,76
2005;Julio;0,95
2005;Agosto;2,32
2005;Septiembre;0,95
2005;Octubre;1,59
2005;Noviembre;0,96
2005;Diciembre;1,04
2006;Enero;1,33
2006;Febrero;2,16
2006;Marzo;0,94
2006;Abril;3,99
2006;Mayo;1,22
2006;Junio;3,35
2006;Julio;1,11
2006;Agosto;2,83
2006;Septiembre;1,24
2006;Octubre;1,80
2006;Noviembre;1,19
2006;Diciembre;1,28
2007;Enero;1,90
2007;Febrero;2,57
2007;Marzo;1,01
2007;Abril;1,54
2007;Mayo;3,54
2007;Junio;3,37
2007;Julio;1,61
2007;Agosto;3,12
2007;Septiembre;1,32
2007;Octubre;1,94
2007;Noviembre;1,35
2007;Diciembre;1,47
2008;Enero;2,02
2008;Febrero;2,60
2008;Marzo;1,25
2008;Abril;4,17
2008;Mayo;1,35
2008;Junio;4,12
2008;Julio;1,54
2008;Agosto;3,03
2008;Septiembre;1,41
2008;Octubre;2,16
2008;Noviembre;1,49
2008;Diciembre;1,54
2009;Enero;2,11
2009;Febrero;2,57
2009;Marzo;1,31
2009;Abril;5,59
2009;Mayo;1,37
2009;Junio;4,76
2009;Julio;1,49
2009;Agosto;4,41
2009;Septiembre;1,43
2009;Octubre;2,53
2009;Noviembre;1,51
2009;Diciembre;1,62
2010;Enero;2,30
